300.0000 286.0000 299.5000 376.0000 572.5000 403.5000 329.0000 229.5000 388.0000 241.5000 233.5000 286.0000 371.5000 138.5000 313.5000 -1623.0000 92.0000 246.0000 234.5000
301.0000 366.0000 419.5000 421.0000 509.0000 450.5000 335.5000 307.5000 416.5000 308.5000 321.0000 366.0000 357.0000 337.5000 439.5000 -901.0000 208.0000 254.0000 349.5000
302.0000 377.5000 399.5000 408.5000 479.5000 496.5000 443.5000 422.5000 458.5000 433.0000 479.5000 377.5000 440.5000 492.0000 503.0000 -252.5000 394.5000 403.5000 484.0000
303.0000 486.0000 495.5000 487.5000 547.5000 485.0000 525.5000 557.5000 567.0000 507.5000 491.5000 486.0000 534.5000 503.5000 599.5000 182.0000 468.5000 673.0000 576.0000
304.0000 618.5000 583.0000 558.5000 588.0000 678.0000 589.5000 621.0000 615.5000 559.5000 630.0000 618.5000 600.0000 678.0000 623.5000 472.0000 631.5000 616.5000 611.0000
305.0000 589.5000 687.0000 588.5000 670.5000 784.0000 695.0000 742.5000 672.0000 682.5000 655.5000 589.5000 719.5000 753.0000 756.5000 583.0000 723.5000 799.5000 751.5000
306.0000 759.5000 772.0000 705.0000 798.5000 799.5000 712.0000 862.5000 806.5000 761.5000 789.0000 759.5000 779.5000 840.0000 881.0000 731.0000 855.0000 866.0000 868.5000
307.0000 886.0000 850.0000 806.0000 856.0000 924.0000 831.5000 891.5000 874.0000 881.5000 919.5000 886.0000 935.0000 1010.0000 1011.0000 779.0000 913.5000 1010.5000 973.5000
308.0000 954.5000 999.5000 984.0000 943.0000 1045.5000 955.0000 1027.0000 968.0000 989.0000 1052.5000 954.5000 1059.5000 1064.0000 1147.5000 981.5000 1076.0000 1159.0000 1127.5000
309.0000 1062.0000 1094.0000 1061.5000 1178.5000 1195.0000 1082.0000 1149.5000 1065.5000 1078.0000 1209.0000 1062.0000 1158.5000 1210.0000 1293.0000 1120.0000 1258.5000 1301.0000 1239.0000
