,0 uM,0 uM ,0 uM ,0.1 uM ,0.1 uM ,0.1 uM ,1 uM ,1 uM,1 uM ,10 uM,10 uM,10 uM ,100 uM ,100 uM ,100 uM ,500 uM ,500 uM ,500 uM 
491,207,293,303,251.5,326,132,250,231.5,166.5,156,207,237,312.5,239,223,242,311.5,221.5
492,236,302,270,257.5,239.5,152,246,272,154.5,156.5,236,238.5,297,247,251,269.5,270,198.5
493,243,303.5,256,249,306.5,130.5,227.5,266.5,192.5,152,243,268.5,287,263.5,160,271.5,301.5,182.5
494,228.5,272,274,203.5,333,152.5,197,252.5,142,146,228.5,183,284.5,270,233,299,230,178.5
495,196.5,297.5,279,220,270,124.5,219.5,265.5,169,142.5,196.5,227,255,195.5,220,264.5,286.5,159
496,187.5,234.5,239.5,231,228,145.5,245.5,243.5,197,135,187.5,235.5,277.5,211,205,210,308.5,188
497,127.5,266,203.5,202,271,102.5,197.5,216.5,150.5,105,127.5,243.5,257,212.5,187.5,280,284,164
498,175.5,267,207.5,190.5,249.5,128,203,204,161,128.5,175.5,191.5,244.5,199.5,143,225.5,273.5,113.5
499,170,265.5,237.5,200.5,260,136.5,215,217.5,136,114.5,170,189,246,187.5,151,237,249.5,118
500,170.5,223,215.5,165,202,107.5,162.5,196,130.5,91.5,170.5,158,246,196,159,225,234.5,162
