,0 uM,0 uM ,0 uM,0.1 uM,0.1 uM ,0.1 uM ,1 uM,1 uM ,1 uM ,10 uM,10 uM ,10 uM ,100 uM,100 uM ,100 uM ,500 uM ,500 uM ,500 uM 
343,8185.5,8317,8185.5,8850.5,8329.5,8970,9438.5,8917.5,9225,9195,9491.5,9186,10695.5,10650.5,10588.5,10737,10698,12464
344,8578,8428,8578,9015.5,8325,9180.5,9773.5,8999,9325.5,9375.5,9662,9313,11091.5,11068.5,10649.5,10748,10768.5,12840
345,8717.5,8790,8717.5,9258.5,8706,9496.5,9919.5,9336,9652.5,9689.5,9946.5,9587,11260.5,11318,10990,11065,11135.5,12995.5
346,8787.5,8904,8787.5,9405.5,8718,9739.5,10013,9470,9932,9922.5,10189,9715,11579.5,11438.5,11352,11476.5,11483.5,13353.5
347,8994.5,9040,8994.5,9744.5,8923,9788,10182,9644.5,9949,10148.5,10218,9969,11975.5,11736,11661,11617,11646,13578.5
348,9140,9293.5,9140,9901.5,9174,10071.5,10634.5,9892.5,10121,10226,10479,10224.5,11900.5,11716,11700.5,11764,11896,13776.5
349,9326.5,9357.5,9326.5,10092.5,9476.5,10109.5,10673.5,9849.5,10211,10532.5,10571.5,10161.5,12215,12169,12031,12039.5,12033,14169
350,9423.5,9614,9423.5,10350.5,9569,10317,10878,10139,10518.5,10742.5,10752.5,10377,12396,12226,12168.5,12266.5,12232.5,14286
351,9646.5,9616,9646.5,10356.5,9841,10475,10997.5,10245,10651,10772,10921.5,10562.5,12557,12572,12079,12551,12496.5,14366
352,9782,9829.5,9782,10571,9878,10626.5,11031,10305.5,10818.5,10838.5,11101,10801.5,12776,12673,12458,12691.5,12497,14585
353,9777.5,10221.5,9777.5,10620,9804,10809.5,11306.5,10445.5,10815,11053,11186.5,11031,12872,12697,12655.5,12704.5,12689,14961.5
354,10007.5,10223.5,10007.5,10680.5,10041,10866.5,11383,10614,11086.5,11258.5,11157.5,11078,12972,12855,12749,12821.5,12990.5,14997
355,10134.5,10366.5,10134.5,10909,10092.5,11063.5,11183,10766,11189.5,11201,11333.5,11103.5,13126,13025.5,12838,13085.5,13130,14961
356,10179,10224,10179,11041.5,10238.5,10992,11392,10810.5,11136.5,11361.5,11495,11037,13052.5,13033,12953.5,13355.5,13299.5,15145
357,10199.5,10508.5,10199.5,11040,10433.5,11071.5,11435,10864,11272.5,11501,11641,11259,13285,13016,13137,13212.5,13174,15234
358,10219.5,10427,10219.5,11261.5,10346,11138.5,11484,10867,11071.5,11639,11698,11258,13401.5,13333,13022.5,13290.5,13464.5,15261
359,10333,10678,10333,11330,10533.5,11223,11533.5,10928.5,11270.5,11603.5,11700.5,11176,13234,13351.5,13198.5,13267,13320,15351.5
360,10276.5,10513,10276.5,11304,10344,11158.5,11733.5,11107.5,11245,11544,11772,11297.5,13263.5,13363.5,13356.5,14376.5,14474.5,15440.5
361,10451,10755,10451,11359,10525.5,11050,11855.5,10949.5,11443,11816,11538,11306,13385,13373.5,13267,13673.5,13481,15428
362,10369,10484.5,10369,11283.5,10451.5,11063.5,11749.5,11128,11449,11824,11712.5,11358,13276,13380.5,13162.5,13387.5,13383,15228
363,10441.5,10684,10441.5,11270,10404.5,11243,11649.5,11000,11266,11598,11765.5,11471,13317,13208,13098.5,13377.5,13295.5,15368.5
364,10432,10649.5,10432,11313.5,10385,11196.5,11772.5,11223,11282,11802.5,11623.5,11211.5,13263.5,13099.5,12991,13324,13531.5,15216
365,10394.5,10442,10394.5,11338.5,10438,11047.5,11689,10931,11372,11689,11645.5,11302.5,13353,13189,13141.5,13144.5,13311.5,15348
366,10352,10527,10352,11283,10395,11191.5,11654,10984.5,11280.5,11586.5,11508,11270.5,13198.5,13299,13098,13268,13456.5,15407
367,10253.5,10561,10253.5,11282,10375.5,11097,11742.5,10820.5,11302.5,11505.5,11590,11385,13016,13080,12951,13143,13297.5,15135
368,10267.5,10466.5,10267.5,11082.5,10197.5,10993,11649,10841.5,11172,11684,11693,11236,12948,13011,12919,12962,13243,15034
369,10153,10543,10153,11221,10238,10887,11420,10728,11037.5,11325.5,11444.5,11074,12985,12955.5,12884,13194.5,13316.5,15180
370,10083,10430,10083,11100,10180.5,11103,11446.5,10663.5,10929,11315,11347,11056.5,12783.5,12925,12751.5,12877,13129.5,14845
371,9986.5,10410,9986.5,10989.5,10347.5,10612,11175,10621.5,10975,11139,11322.5,11143.5,12704,12586,12583.5,12825.5,13022,14689
372,10050.5,10231,10050.5,10895,10163.5,10611.5,11062.5,10613.5,10637.5,11114,11141,10819,12596,12536,12469,12715,12965.5,14535
373,9933.5,10080,9933.5,10739.5,10036.5,10450,10937.5,10531,10587.5,11203,11123,10781,12436,12600,12469,12617,12710.5,14370
374,9658,10184,9658,10654,9793.5,10354,10934.5,10387.5,10641,10998,10872,10618.5,12221.5,12343,12494,12534.5,12667,14348
375,9786.5,10019.5,9786.5,10696.5,9800.5,10210,10681,10135.5,10301,10790,10892.5,10578,12094,12090,12230,12441,12562.5,14070
376,9502.5,9746.5,9502.5,10459,9543,10235.5,10679,10070,10231.5,10582,10576.5,10468.5,11848,12071,12102.5,12216,12245,13899.5
377,9473.5,9669.5,9473.5,10202,9404.5,10020.5,10411.5,9914,10188,10694,10501.5,10310,11937,11729.5,11913.5,11889.5,11983,13798
378,9331.5,9472,9331.5,10354,9239.5,10011,10390.5,9887.5,9888.5,10380,10344.5,10009.5,11742.5,11605,11808.5,11905.5,12082,13417
379,9230.5,9393.5,9230.5,10076,9146.5,9776.5,10300,9450,10009,10204,10252,10091,11379,11552,11525.5,11571.5,11894.5,13458
380,8933.5,9346.5,8933.5,9879.5,9044,9736.5,10004,9548,9619.5,10047,10117,10048.5,11215.5,11280.5,11444,11471.5,11469,13109.5
381,8942,9255.5,8942,9704,8923,9377,9931,9294,9709,9925,9777.5,9740.5,11167,11181.5,11140.5,11235,11445,12935.5
382,8750,8994.5,8750,9586,8884.5,9454.5,9844.5,9301.5,9486,9718,9788,9620,10865,10870,11029,11162,11345,12767.5
383,8657.5,8895.5,8657.5,9506.5,8622,9183.5,9791,8995,9312.5,9604,9486.5,9314,10679.5,10713,10882.5,11050.5,11196.5,12445
384,8578,8827.5,8578,9269.5,8679.5,8992,9423.5,8813,9138,9429,9376.5,9168.5,10486,10587,10757,10761,10938.5,12203.5
385,8452,8511.5,8452,9216.5,8570,8914,9506.5,8822,9103.5,9166,9162,9124.5,10328,10500,10343,10439.5,10907.5,11937
386,8231,8375.5,8231,9011.5,8394.5,8755.5,9147,8382.5,9042,9180,9029,9038,10115,10354,10178,10358,10642,11826.5
387,8075,8111,8075,8869.5,8329,8818.5,9177.5,8565.5,8780.5,8885.5,8868.5,8979,9759,10040,10191,10332,10453,11522.5
388,7953.5,8179,7953.5,8815,8081,8550.5,8970.5,8272.5,8574,8858.5,8904.5,8665.5,9818.5,9761.5,10016.5,10061.5,10153,11376
389,7919,7973,7919,8559,7988,8420,8715,8198.5,8448,8579,8583.5,8526,9627.5,9779.5,9824,9914.5,10032,11271.5
390,7461.5,7825,7461.5,8443.5,7819,8326.5,8604,7999.5,8376,8608.5,8446.5,8445,9421.5,9528.5,9523.5,9790,9992.5,11045
391,7541.5,7726.5,7541.5,8185.5,7630,8039.5,8633,7813,8262.5,8404.5,8463,8228.5,9315.5,9451,9614.5,9447.5,9873,10880
392,7398.5,7610.5,7398.5,8056,7498.5,7840,8381.5,7736.5,8233,8181.5,8183.5,7976,9096.5,9231.5,9233.5,9447.5,9764,10716.5
393,7342.5,7217,7342.5,7885,7411,7755.5,8133.5,7568.5,7989,8114,8004.5,7956.5,8781.5,9100.5,8852.5,9126,9541.5,10405
394,7087.5,7033,7087.5,7695.5,7154,7557.5,7905.5,7242,7575,7913.5,7820.5,7707,8488,8757.5,8759.5,8956,9105.5,10117.5
395,6931.5,6910.5,6931.5,7565.5,7045,7473,7759.5,7206.5,7565.5,7752.5,7636.5,7593,8346,8525,8506.5,8752,8945.5,9830
396,6679,6793.5,6679,7247.5,6846.5,7251,7626,6930,7404.5,7375.5,7346,7103.5,8196.5,8336,8338,8484.5,8649,9664
397,6555,6523.5,6555,7081,6544.5,6998,7534,6806.5,7132.5,7127.5,7140.5,7063.5,7923.5,8016.5,8065.5,8291,8528.5,9457
398,6424.5,6368,6424.5,6839.5,6357.5,6595.5,7126.5,6632.5,7039,6858,6962.5,6824,7591.5,7669,7866.5,7824.5,8209.5,9079.5
399,6114,6097,6114,6649,6234,6526,6831.5,6255,6723.5,6739,6767,6616.5,7426,7440.5,7679,7656,7918,8783.5
400,5812.5,5864,5812.5,6422,6045.5,6329,6609,6140.5,6479.5,6415,6469,6512,6986.5,7352.5,7203.5,7332,7628,8510
401,5590,5726.5,5590,6308,5827,6128.5,6435,5927.5,6301,6358.5,6289,6261.5,6845.5,6956.5,7040.5,7056,7375.5,8005.5
402,5563,5343,5563,6006,5615,5994.5,6350.5,5692,6092,6125.5,6030.5,6008.5,6627.5,6752.5,6946.5,6977,7182.5,7934.5
403,5268.5,5204.5,5268.5,5844,5423.5,5781,6147,5514.5,5974.5,5826,5939.5,5761,6341,6544,6590,6614,6966,7475
404,5186.5,4990.5,5186.5,5671,5177.5,5567.5,5978.5,5140,5740.5,5713.5,5588,5637,6213.5,6336,6233,6260.5,6669.5,7416.5
405,5046.5,4790,5046.5,5442.5,5030,5230,5709,5113.5,5468,5440,5417.5,5474,5901,6199.5,6112.5,6098,6565.5,7224.5
406,4928,4754,4928,5249.5,4995.5,5115,5591.5,4793,5341.5,5283.5,5185,5137,5598,5832.5,5809,6031,6190.5,6795.5
407,4536.5,4415,4536.5,5053,4719.5,5066,5425,4772,5155,5126.5,5121,5043,5469.5,5685.5,5660,5664.5,6024.5,6557.5
408,4439,4369.5,4439,4822.5,4613,4826.5,5074.5,4479.5,5049,4932.5,4881,4833.5,5392,5331.5,5370,5569,5866.5,6437
409,4432.5,4198.5,4432.5,4695,4296.5,4802.5,4937,4396,4828,4824,4878.5,4684,5127.5,5294,5192.5,5349.5,5595.5,6228
410,4118.5,3960.5,4118.5,4415.5,4234,4453.5,4817,4230,4696,4657,4635,4570,4800,5066.5,5183.5,5080.5,5510,6042.5
411,4010.5,3742.5,4010.5,4408.5,4176,4373.5,4812,4141,4539.5,4456,4418.5,4409,4677,5030,4948.5,4865.5,5302.5,5776
412,3875.5,3576,3875.5,4150,4051,4116,4596.5,3945.5,4423,4328,4229.5,4244,4637,4693.5,4616.5,4845.5,5093.5,5524
413,3714.5,3545.5,3714.5,3996,3857,4088,4529.5,3728,4133,4124,4065,4147,4346,4606,4380.5,4470.5,4870.5,5318.5
414,3589,3405,3589,3967.5,3690,3881,4275,3626,4175.5,3946.5,4071.5,3934,4276,4361.5,4508.5,4414.5,4773,5179
415,3395.5,3283,3395.5,3924.5,3570.5,3747,4146.5,3490.5,3969.5,3741.5,3977,3862,4067.5,4340,4235,4229,4546,4956
416,3359.5,3185,3359.5,3668,3410,3613.5,3935,3489.5,3795.5,3747.5,3762,3612.5,3933,4092,4160,4010.5,4406.5,4815
